token_address,symbol,type,total_trades,total_gaps,block_gap_mean,block_gap_min,block_gap_max,block_gap_p25,block_gap_p50,block_gap_p75,block_gap_p90,block_gap_p95,gap_0_count,gap_1_count,gap_2_count,gap_3_count,gap_4_count,gap_5_count,gap_6to10_count,gap_over10_count
0x0da3a0a3bd66bbeaaa4d35d12cb9ea3725294444,龙虾人,pump,313,312,0.55,-2,12,0,0,1,3,3,124,69,22,22,10,2,0,1
0xf3372a3dbc824f0b0044ca77209559514b294444,GLUBSCHIS,pump,295,294,0.57,-2,7,0,0,1,2,3,135,53,32,15,6,2,4,0
0xf40dec26ab76df60a761e78c84682d7117a64444,COS,pump,292,291,0.68,-2,7,0,0,2,3,3,92,64,38,24,6,4,2,0
0x68b04d6e06495866cc810d4179caf97651a5ffff,NINA基金会,pump,131,130,1.45,-2,9,0,1,3,4,5,21,21,29,18,8,6,3,0
0x1443d233e2dbad52df65e6b17063274e6c844444,Lenny,normal,91,90,2.17,-2,16,0,2,3,5,8,16,11,19,11,10,4,5,2
0x1443d233e2dbad52df65e6b17063274e6c844444,Lenny,normal,24,23,7.83,0,39,2,3,9,20,35,1,2,6,3,3,1,2,5
0xb9b1142a28fade5771b7ae076c96c3bee8beffff,龙虾基金,pump,304,303,0.56,-2,8,0,0,1,2,3,135,51,33,16,10,0,4,0
0x4d15d67fcf9bd0b109efa7fc1b150416cca04444,小龙虾,normal,31,30,6.63,-1,51,0,3,7,22,34,7,3,2,4,1,3,2,6
0x4d15d67fcf9bd0b109efa7fc1b150416cca04444,小龙虾,normal,51,50,3.06,-2,24,1,2,4,7,12,8,7,9,6,7,2,4,3
0xd7a23f95c6698c44c7b861408f0d7b47acc74444,来宝,normal,175,174,0.96,-2,9,0,1,2,3,4,54,41,24,16,4,3,4,0
